"ss_id","ss_name","address","gov_id","city_id","longitude","latitude","pversion","ptype"
"1010069","融创·栾州壹号(建设中)","栾城镇鑫源西路96号","44","36","114.634129","37.884681","2019/9/11","{9,1}"
"1010070","融创城(建设中)","栾城大街东50米","44","36","114.531997","37.910514","2019/9/11","{9,1}"
"1010652","石家庄·碧桂园","青银高速与红旗大街交汇处西南角","54","36","114.466601","37.913452","2019/9/11","{4,2}"
"1011199","万科·金域华府","大里路与翔云道交叉口","61","59","118.151425","39.647156","2019/9/11","{4,1}"
"1011217","万科新里程","路北凤凰新城大里路与朝阳西道交叉口北行200米路西","61","59","118.147878","39.662011","2019/9/11","{4,1}"
"1011250","恒大御海天下","友谊北路东100米","61","59","118.142992","39.67157","2019/9/11","{9,0}"
"1011226","万科·金域天地","大理路与翔云道交叉口唐城壹零壹","61","59","118.151119","39.649576","2019/9/11","{4,1}"
"1011454","碧桂园翡翠华府(建设中)","惠丰街与惠民路交叉口西北100米","64","59","118.134278","39.478263","2019/9/11","{4,2}"
"1013014","恒大·翡翠华庭","中华大街与联纺路交口西行500米(原国棉四厂)","84","82","114.491194","36.631176","2019/9/11","{9,0}"
"1011923","华润小区","文化南路与沙河北路交叉口西南100米","72","59","117.964295","40.178937","2019/9/11","{4,5}"
"1012170","恒大城","北四路","75","74","119.594857","39.973846","2019/9/11","{9,0}"
"1012397","保利·海公园","宁海道","77","74","119.408408","39.828774","2019/9/11","{4,4}"
"1012939","恒大名都","北仓路","84","82","114.528047","36.631675","2019/9/11","{9,0}"
"1013881","碧桂园翡翠湾","206县道(武安市第一中学斜对面)","101","82","114.207944","36.670429","2019/9/11","{4,2}"
"1013894","武安碧桂园","206县道西50米","101","82","114.21082","36.671033","2019/9/11","{4,2}"
"1015159","碧桂园森林城市","五四东路与焦银路交叉口北100米","125","122","115.548966","38.872882","2019/9/11","{4,2}"
"1014115","恒大名都(太行街)(建设中)","太行街","104","102","114.458945","37.114783","2019/9/11","{9,0}"
"1014253","邢台碧桂园","玉带桥西邻","105","102","114.423783","37.029392","2019/9/11","{4,2}"
"1014259","邢台恒大山水城(建设中)","中兴东大街和振兴路交汇处南300米","105","102","114.56152","37.055724","2019/9/11","{9,0}"
"1013947","恒大城","团结大街与开元路交叉口东北角(原棉纺厂)","103","102","114.517034","37.08106","2019/9/11","{9,0}"
"1016027","码头万科(建设中)","301涿州培训保障基地家属楼后","144","122","116.085702","39.553972","2019/9/11","{4,1}"
"1015355","碧桂园九龙湾","232省道龙安大桥东南侧","129","122","115.69297","39.57062","2019/9/11","{4,2}"
"1015372","恒大京南半岛","京昆高速涞水西出口800米","129","122","115.691645","39.421473","2019/9/11","{9,0}"
"1017016","碧桂园首府(建设中)","东盛南街与胜利东路交汇处","158","148","114.609796","39.838352","2019/9/11","{4,2}"
"1016828","碧桂园·北京郡","455县道西侧","152","148","115.297583","40.499243","2019/9/11","{4,2}"
"1017180","碧桂园·官厅湖","457县道","162","148","115.679714","40.314734","2019/9/11","{4,2}"
"1017574","兴隆碧桂园(建设中)","双桥路北","171","166","117.496266","40.406456","2019/9/11","{4,2}"
"1017486","碧桂园朗悦湾(建设中)","秀水大街彩虹桥西侧","168","166","117.793207","40.940362","2019/9/11","{4,2}"
"1020598","太原万科城","南中环太榆路交汇处东北角","220","219","112.600595","37.797892","2019/9/11","{4,1}"
"1019130","绿地国宝21城","京哈高速东出口左转1公里","200","195","117.080925","39.79632","2019/9/11","{9,3}"
"1019562","碧桂园(森林城市)","汉王路","205","195","116.824638","39.967112","2019/9/11","{4,2}"
"1019820","碧桂园天悦府","人民公园东侧","207","206","115.703916","37.72903","2019/9/11","{4,2}"
"1018109","碧桂园","碧桂园(青官线西500米)","182","178","116.814797","38.559238","2019/9/11","{4,2}"
"1018390","碧桂园·首府(建设中)","None","189","178","116.113713","38.169004","2019/9/11","{4,2}"
"1019360","碧桂园云樾东方","华夏北路555号","203","195","116.914923","39.966365","2019/9/11","{4,2}"
"1019782","恒大绿洲","南环西路与中华南大街交叉口东北角","207","206","115.678471","37.715384","2019/9/11","{9,0}"
"1019801","绿城·御京府(建设中)","育才南大街","207","206","115.669561","37.727972","2019/9/11","{9,2}"
"1020656","碧桂园","人民南路与化章街交汇处往西800米","220","219","112.559952","37.719186","2019/9/11","{4,2}"
"1020671","恒大未来城","龙城大街","220","219","112.545939","37.772616","2019/9/11","{9,0}"
"1020690","恒大江湾","龙城北街1巷","220","219","112.545208","37.776056","2019/9/11","{9,0}"
"1021502","融创香堤壹号(建设中)","滨河东路森林公园北800米","223","219","112.521817","37.92652","2019/9/11","{9,1}"
"1020898","万科紫台","双塔南路29号","221","219","112.592999","37.815411","2019/9/11","{4,1}"
"1021047","太原万科紫院(建设中)","五龙口街118号","221","219","112.603011","37.863419","2019/9/11","{4,1}"
"1021063","绿城小区","迎泽街道马庄小学丽都绿城小区","221","219","112.624067","37.829756","2019/9/11","{9,2}"
"1021463","恒大御景湾(北中环街)","滨河东路228号","223","219","112.522025","37.929051","2019/9/11","{9,0}"
"1020855","恒大山水城(复地路)","复地路","221","219","112.641286","37.827658","2019/9/11","{9,0}"
"1021420","恒大名都","解放北路161号","223","219","112.556395","37.902869","2019/9/11","{9,0}"
"1021511","万科公园里(建设中)","摄乐南街36号","223","219","112.504307","37.915879","2019/9/11","{4,1}"
"1021521","碧桂园郎悦湾(建设中)","九丰路与汇丰街交叉口西南150米","223","219","112.526514","37.896117","2019/9/11","{4,2}"
"1021775","万科紫郡","新晋祠路91号","224","219","112.529524","37.841366","2019/9/11","{4,1}"
"1021674","万科·蓝山5期","长风西街与和平南路交汇处北300米","224","219","112.505341","37.829071","2019/9/11","{4,1}"
"1021699","万科蓝山","和平南路203号(太原市长风西街和平南路口向北300米)","224","219","112.50205","37.825688","2019/9/11","{4,1}"
"1021810","保利·红街","西中环科技大学正对面","224","219","112.48695","37.876234","2019/9/11","{4,4}"
"1021818","万科·蓝山2期","和平南路新义街口往西300米路南","224","219","112.50468","37.826383","2019/9/11","{4,1}"
"1021720","绿地中央广场(滨河西路辅路)(建设中)","滨河西路","224","219","112.532382","37.843535","2019/9/11","{9,3}"
"1021739","华润悦府","长兴路7号","224","219","112.528489","37.805403","2019/9/11","{4,5}"
"1021743","中海·寰宇天下","晋祠路与迎泽大街交叉口南500米","224","219","112.531395","37.853408","2019/9/11","{4,3}"
"1021745","恒大滨河左岸","文兴路与永乐北街交叉口南150米","224","219","112.528801","37.880958","2019/9/11","{9,0}"
"1021746","恒大雅苑","西中环路","224","219","112.503425","37.831349","2019/9/11","{9,0}"
"1021749","保利·百合","西中环太原科技大学正对面","224","219","112.48853","37.876743","2019/9/11","{4,4}"
"1021892","万科金域国际","长风西街66号","225","219","112.500839","37.819744","2019/9/11","{4,1}"
"1022173","绿地世纪城","文兴路与南环东路交叉口西南处","231","230","113.34267","40.060687","2019/9/11","{9,3}"
"1021921","恒大青运城","山西体育馆正对面","225","219","112.533529","37.751708","2019/9/11","{9,0}"
"1021923","保利西湖林语(建设中)","环湖东路与健康南街交汇处","225","219","112.520867","37.751993","2019/9/11","{4,4}"
"1022688","恒大新城小区","南外环街北100米","245","242","113.594445","37.8432","2019/9/11","{9,0}"
"1022494","恒大花园(北山西路)","北山西路1号","243","242","113.586966","37.869157","2019/9/11","{9,0}"
"1024561","绿城华府","金华路与金融路交叉口西北100米","287","276","111.911262","37.030699","2019/9/11","{9,2}"
"1024156","万科广场","大学城万科公寓Y2三单元705","277","276","112.728354","37.737081","2019/9/11","{4,1}"
"1024134","晋中碧桂园(建设中)","文苑街","277","276","112.742594","37.711832","2019/9/11","{4,2}"
"1024797","碧桂园","南路与跨湖大道交汇处西行800米","289","288","111.015687","34.970568","2019/9/11","{4,2}"
"1028270","中海·铂悦府","丰州南路西50米","354","350","111.742507","40.79538","2019/9/11","{4,3}"
"1026986","华润联盛后院小区","滨河北西路13号","336","335","111.13989","37.523889","2019/9/11","{4,5}"
"1027832","恒大雅苑(成吉思汗西街)","攸板镇林场南路中段路北","352","350","111.609562","40.836151","2019/9/11","{9,0}"
"1028157","中海·蓝湾","滨河北路与兴安南街交汇处","354","350","111.723999","40.786014","2019/9/11","{4,3}"
